items,Items_id,Sub Category,Items_Category,Price,Discount,Rating,No_of_Review,BuyingProspect
The Fruit Company's Savory Charcuterie Box,272,Gift Baskets,9,99.99,0,4.6,119,547.4
"Dorm Room Snack Box, 68-piece",273,Gift Baskets,9,39.99,0,4.6,941,4328.6
"Tea Forte Lotus Spa Bundle, 25 Tea Packs and One Cup",274,Gift Baskets,9,49.99,0,4.8,17,81.6
The Fruit Company's Columbia River Fruit Basket,275,Gift Baskets,9,89.99,0,4.5,79,355.5
Godiva Valentine’s Day Radiant Red Gift Basket,276,Gift Baskets,9,79.99,0,4.3,152,653.6
Jacques Torres Assorted Chocolate Small Hat Box,277,Gift Baskets,9,69.99,0,3.7,3,11.1
"The Fruit Company ""Thank You"" Fruit Basket",278,Gift Baskets,9,69.99,0,4.4,45,198
The Fruit Company Vintage Crate with Pears & Apples,279,Gift Baskets,9,59.99,0,4.5,314,1413
Traditions Tea Teapot Tower Gift Set,280,Gift Baskets,9,39.99,0,4.5,251,1129.5
Jacques Torres Assorted Chocolate Large Hat Box,281,Gift Baskets,9,149.99,0,5,3,15
"D'Artagnan Extreme American Wagyu Burger Lovers Bundle 12 Total Packs, 6 Lbs. Total",282,Gift Baskets,9,159.99,0,4.5,859,3865.5
Cheryl's Cookies 24-count Assorted Valentine's Day Cookies ,283,Gift Baskets,9,34.99,0,4.6,97,446.2
Best of Dewey’s Bakery Gift Box,284,Gift Baskets,9,49.99,0,4.5,60,270
Chocolate Covered Company Premium Dried Fruit & Mendiant Gift Tray,285,Gift Baskets,9,59.99,0,3.8,46,174.8
"Chocolate Covered Company Giant Belgian Chocolate Breakable Cupcake, 34 oz. total ",286,Gift Baskets,9,49.99,0,0,0,0
"The Fruit Company Royal Comice Pears, 15-count",287,Gift Baskets,9,49.99,0,4.4,18,79.2
"Popcornopolis Metallic Hearts Mini Cones, Caramel Corn and Kettle Corn, 24 count",288,Gift Baskets,9,44.99,0,0,0,0
"Heaton Pecans Roasted Salted Pecans, Chocolate Covered Pecans, Praline Pecan Tin 2.3 lb Total ",289,Gift Baskets,9,39.99,0,4.5,440,1980
eat.art Salt and Spice Set 2-pack,290,Gift Baskets,9,44.99,0,5,3,15
Godiva Valentine’s Day Gift Tower,291,Gift Baskets,9,49.99,0,4.5,128,576
Stonewall Kitchen Ultimate Breakfast Gift Set,292,Gift Baskets,9,89.99,0,4.8,465,2232
"Plaza Osetra Farmed Bulgarian Sturgeon Caviar, 2 oz Gift Set",293,Gift Baskets,9,124.99,0,4.5,996,4482
Sanders Dark Chocolate Peppermint Sea Salt Caramel 2-pack (36 oz),294,Gift Baskets,9,34.99,0,4.4,312,1372.8
Mrs. Fields Special Occasions Cookie Tin,295,Gift Baskets,9,46.99,0,4.4,753,3313.2
Heaton Pecans Roasted & Salted Pecans Tin 2.5 lbs,296,Gift Baskets,9,54.99,0,4.3,119,511.7
TRE Olive Oil Calabrian Gift Box,297,Gift Baskets,9,79.99,0,4.8,115,552
